rng_seed,num_nodes,threads_per_task,tasks_per_node,model_time_sim,wall_time_create,wall_time_connect,wall_time_sim,wall_time_phase_collocate,wall_time_phase_communicate,wall_time_phase_deliver,wall_time_phase_update,wall_time_communicate_target_data,wall_time_gather_spike_data,wall_time_gather_target_data,wall_time_communicate_prepare,py_time_kernel_prepare,py_time_network_local,py_time_network_global,py_time_simulate,py_time_presimulate,py_time_network_prepare,py_time_create,py_time_connect_area,py_time_connect_cc,py_time_connect,base_memory,network_memory,init_memory,total_memory,num_connections,local_spike_counter,e_counter
654,4,16,8,10000.0,0.2049930625,48.4854484375,2096.1785001874996,14.455223499999999,760.7606654375,739.627209125,578.53824315625,nan,1516.30244140625,nan,nan,0.14471708238124847,1985.4154025390744,323.8783933222294,1927.5582047104836,168.62292560189962,35.18267825990915,1945.1303513795137,40.271127946674824,323.87835421413183,399.3321604207158,31041504.0,1296367712.0,1549308000.0,1549308000.0,24134776576.0,726636422.0,726636422.0
11,4,16,8,10000.0,0.19683321874999998,48.88599925,1909.5840513125,14.45512565625,590.6184458125,724.43181890625,577.4474846875,nan,1330.8713976875001,nan,nan,0.14023400843143463,1972.435409836471,324.68445877730846,1756.6407270431519,152.94592390954494,36.674039259552956,1931.7619458064437,40.65929315984249,324.6844184398651,402.01775085926056,31034848.0,1296408160.0,1549139848.0,1549139848.0,24134776576.0,738068217.0,738068217.0
91856,4,16,8,10000.0,0.20720515625000002,48.66429484375,1762.21672246875,11.56867828125,587.778105,584.0315550937501,576.15350421875,nan,1184.727321375,nan,nan,0.14169594645500183,1984.060935728252,322.80558351427317,1602.2488365322351,159.97005033493042,36.299923442304134,1943.6685871481895,40.377932384610176,322.8055447116494,399.4834005385637,31040640.0,1296407808.0,1549188352.0,1549188352.0,24134776576.0,542863091.0,542863091.0
654,8,16,8,10000.0,0.13425723437499998,31.48641371875,1387.90337465625,14.76536090625,751.43534675,347.333196296875,271.767160171875,nan,1114.898120609375,nan,nan,0.24520567804574966,1000.3591034561396,322.32778084650636,1261.7214604876935,126.22437453642488,19.766822796314955,974.1371774896979,26.208194948732853,322.3277441672981,368.3027619123459,63105280.0,1341590016.0,1594349288.0,1594350768.0,24134776576.0,623291453.0,623291453.0
11,8,16,8,10000.0,0.13409590625,31.38038421875,1308.284715671875,13.527669015625,701.19903559375,320.34954167187504,270.626133796875,nan,1036.3847201875,nan,nan,0.2473338358104229,1016.5820014998317,321.2537708580494,1206.6410090327263,101.65884835273027,19.533722892403603,990.4443783611059,26.123898800462484,321.2537346556783,366.91135634854436,63106304.0,1341591040.0,1594350164.0,1594352236.0,24134776576.0,565004410.0,565004410.0
91856,8,16,8,10000.0,0.13326009375,31.517285671874998,1481.6433538125,17.5996341875,776.097987609375,406.203265375,279.192726109375,nan,1201.2246120468749,nan,nan,0.24981165304780006,997.0563076734543,322.502614159137,1376.641293361783,105.17119652405381,18.845203265547752,970.7706599347293,26.27182211726904,322.5025781393051,367.6196035221219,63131392.0,1341579264.0,1594351268.0,1594352896.0,24134776576.0,760612423.0,760612423.0
654,12,16,8,10000.0,0.10165371875,26.340266375,1451.4789626770835,13.261227770833335,1015.1126473958334,249.2736666041667,171.30742171875,nan,1278.8930161979167,nan,nan,0.349805826942126,676.487316618363,324.1233277519544,1301.2744414657354,150.25073593854904,16.35189978281657,654.6819392691056,21.791957398255665,324.12329164892435,362.2671488299966,93093632.0,1436273792.0,1720735744.0,1720735744.0,24134776576.0,563177406.0,563177406.0
11,12,16,8,10000.0,0.10203965625,26.646247822916667,1422.8012320833332,12.021480625,1019.6758776145833,221.41765659375002,167.28070636458332,nan,1254.3614345625,nan,nan,0.3447902152935664,677.4454478075107,320.07050671925145,1288.4773329099019,134.41749992966652,15.18054703871409,655.5801640699307,21.851879621545475,320.0704720293482,357.1028986896078,93103616.0,1436222336.0,1720508160.0,1720508308.0,24134776576.0,521494235.0,521494235.0
91856,12,16,8,10000.0,0.10262513541666667,26.68735875,1559.0326432499999,13.014951822916666,1134.9161783333334,238.66100842708332,170.00528520833333,nan,1387.83713528125,nan,nan,0.3495847036441167,680.720081590116,321.443720454971,1386.50839360555,172.5687619249026,15.043130579094091,658.8779152929783,21.829000420868397,321.44368426998454,358.31581526994705,93109504.0,1436304000.0,1720503956.0,1720503956.0,24134776576.0,534180603.0,534180603.0
654,16,16,8,10000.0,0.08834628125,23.796830734375,1473.0708280078125,10.6451520234375,1168.6155655703124,171.03489134375002,120.3836327890625,nan,1351.5269765234375,nan,nan,0.4524567723274231,519.6275165807456,318.93860160931945,1335.8241444099694,137.24863375909626,12.370820365846157,500.22455463185906,19.389985781162977,318.93856501951814,350.69937116652727,124149760.0,1396593152.0,1714679324.0,1714679620.0,24134776576.0,472181534.0,472181534.0
11,16,16,8,10000.0,0.08738310937499999,23.721049546874994,1393.9153211484374,12.3728677265625,1058.6416419921875,196.6328853828125,123.92864196093751,nan,1268.8534399296877,nan,nan,0.45482501201331615,509.5365482028574,318.6926210001111,1286.5256084632128,107.40125073865056,12.735988084226847,490.1715724822134,19.351832745596766,318.69258321262896,350.7804040424526,124144896.0,1396602624.0,1714815724.0,1714822236.0,24134776576.0,578414869.0,578414869.0
91856,16,16,8,10000.0,0.087671453125,23.7189454375,1290.7498018124998,13.2381298125,940.658845640625,208.73911375,125.76044907031252,nan,1163.850446421875,nan,nan,0.45201101899147034,517.1317852046341,319.51349837705493,1175.2104969602078,115.54038097523153,13.40954084508121,497.7519249357283,19.366810699924827,319.51346250623465,352.2898140512407,124168960.0,1396589824.0,1713500592.0,1713501332.0,24134776576.0,608695399.0,608695399.0
654,24,16,8,10000.0,0.07408247395833334,21.50217010416667,1895.7745696197915,10.24517628125,1598.8391595260416,193.03858840625,91.27946604166668,nan,1803.3304227447918,nan,nan,0.6642880402505398,353.1365704424679,321.0722642155985,1802.0058313633006,93.7701088450849,10.37364731480678,336.14456724748015,16.978985354304314,321.07222677767277,348.42485944678384,186333184.0,1542169344.0,1931774592.0,1931782140.0,24134776576.0,802249836.0,802249836.0
11,24,16,8,10000.0,0.07405552604166667,21.57282004166667,1692.2634579583334,9.227951661458334,1418.4045376875001,174.21944401041665,88.12210215104166,nan,1603.0530006145834,nan,nan,0.6634981371462345,354.3807540734609,320.18981701508164,1600.4379977757733,91.90976568683982,10.348834802707037,337.31432672093314,17.05333884184559,320.1897805891931,347.59195423374575,186739968.0,1543788544.0,1930481092.0,1930486272.0,24134776576.0,725240669.0,725240669.0
91856,24,16,8,10000.0,0.07354161458333335,21.600686453124997,1014.6523674583333,7.8331059375,774.4389888645832,146.65140052604167,83.47389109375,nan,930.0855139010417,nan,nan,0.6760035840173563,363.0068441281716,321.2996854521334,915.0986426050464,99.6375493730108,10.84670901671052,345.90678852424026,17.08703749999404,321.2996496086319,349.23339612533647,186338816.0,1541855488.0,1930194184.0,1930207948.0,24134776576.0,554742352.0,554742352.0
654,32,16,8,10000.0,0.065131625,20.46808479296875,1280.79348675,6.678671691406251,1094.6648406171876,113.56067498437501,63.6732184921875,nan,1216.0511080039064,nan,nan,0.8741952730342746,287.30172213353217,319.58638701494783,1179.493018492125,101.35005678609014,8.605630834586918,271.32711689081043,15.961811539717019,319.5863507743925,344.1537931486964,248297728.0,1742603520.0,2172860080.0,2172879912.0,24134776576.0,546198133.0,546198133.0
11,32,16,8,10000.0,0.06499387109375,20.467545914062498,1258.418859472656,6.389464046875,1078.2916417421875,108.5637587265625,62.899623894531246,nan,1194.4102609062502,nan,nan,0.8742606183513999,288.0249283220619,319.4766241936013,1174.55786827486,83.86737741250545,9.745382591150701,272.04725976474583,15.965006783604622,319.4765881476924,345.1869775224477,248267264.0,1742532096.0,2173246324.0,2174745452.0,24134776576.0,545821964.0,545821964.0
91856,32,16,8,10000.0,0.0662994296875,20.47289658203125,1302.6179102031251,6.3670816289062495,1123.0929972226563,108.2181128046875,62.7275141640625,nan,1238.8299467304687,nan,nan,0.8735178653150797,277.90260429494083,319.9975117072463,1191.199432280846,111.41978735569865,8.56989868171513,261.87956298608333,16.010294323787093,319.9974749330431,344.57766793854535,248293632.0,1746662656.0,2172818280.0,2172837372.0,24134776576.0,540251231.0,540251231.0

