num_nodes,threads_per_node,tasks_per_node,model_time_sim,wall_time_create,wall_time_connect,wall_time_sim,wall_time_phase_collocate,wall_time_phase_communicate,wall_time_phase_deliver,wall_time_phase_update,wall_time_communicate_target_data,wall_time_gather_spike_data,wall_time_gather_target_data,wall_time_communicate_prepare
8,32,4,10000.0,0.13175421874999999,49.935924,1630.10867740625,0.3214285625,487.25593559375,604.52630209375,501.0874678125,-1.0,1092.1441505000003,-1.0,-1.0
16,32,4,10000.0,0.07490271875000001,34.842668578125,1788.0461881093752,0.47532225,927.055311,614.2804873749999,239.806831484375,-1.0,1541.8398435625,-1.0,-1.0
24,32,4,10000.0,0.054280213333333334,30.80183813333333,567.13577128,0.40483045333333334,160.69110156,279.22807936,123.32878088,-1.0,440.3419436933333,-1.0,-1.0
32,32,4,10000.0,0.04380455999999999,29.179941519999996,432.30430871199997,0.3653572399999999,108.530843968,235.05117939999994,83.26121931200001,-1.0,343.9617495839999,-1.0,-1.0
